Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0451148,2017-12-10,2017-12-10,,Aamir Khan,Taare Zameen Par,1965-03-14
2,nm0474774,2017-12-10,2017-12-10,,Akshay Kumar,Hera Pheri,1967-09-09
3,nm0222426,2017-12-10,2017-12-10,,Ajay Devgn,Shivaay,1969-04-02
4,nm0451166,2017-12-10,2017-12-10,,Amjad Khan,Sholay,1940-11-12
5,nm0000821,2017-12-10,2017-12-10,,Amitabh Bachchan,Black,1942-10-11
6,nm0657505,2017-12-10,2017-12-10,,Amol Palekar,Kairee,1944-11-24
7,nm1867717,2017-12-10,2017-12-10,,Abhay Deol,Zindagi Na Milegi Dobara,1976-03-15
8,nm0451379,2017-12-10,2017-12-10,,Akshaye Khanna,Dil Chahta Hai,1975-03-28
9,nm0451174,2017-12-10,2017-12-10,,Arshad Warsi,Munna Bhai M.B.B.S.,1968-04-19
10,nm2011932,2017-12-10,2017-12-10,,Anushka Shetty,Bãhubali 2: The Conclusion,1981-11-07
11,nm0474609,2017-12-10,2017-12-10,,Atul Kulkarni,Rang De Basanti,1965-09-10
12,nm2147526,2017-12-10,2017-12-10,,Asrani,Sholay,1941-01-01
13,nm4731677,2017-12-10,2017-12-10,,Ayushmann Khurrana,Andhadhun,1984-09-14
14,nm0045119,2017-12-10,2017-12-10,,Aruna Irani,Caravan,1946-08-18
15,nm0438465,2017-12-10,2017-12-10,,Annu Kapoor,Vicky Donor,1956-02-20
16,nm0896573,2017-12-10,2017-12-10,,Ashish Vidyarthi,24,1962-06-19
17,nm1300009,2017-12-10,2017-12-10,,Adil Hussain,Life of Pi,
18,nm0451600,2017-12-10,2017-12-10,,Anupam Kher,Silver Linings Playbook,1955-03-07
19,nm0438463,2017-12-10,2017-12-10,,Anil Kapoor,Slumdog Millionaire,1956-12-24
20,nm0700869,2017-12-10,2017-12-10,,Amrish Puri,Indiana Jones and the Temple of Doom,1932-06-22
21,nm1244760,2017-12-10,2017-12-10,,Amole Gupte,Taare Zameen Par,
22,nm1224082,2017-12-10,2017-12-10,,Boman Irani,3 Idiots,1959-12-02
23,nm0756379,2017-12-10,2017-12-10,,Balraj Sahni,Baazi,1913-05-01
24,nm3839111,2017-12-10,2017-12-10,,Binnu Dhillon,Vekh Baraatan Challiyan,
25,nm0080445,2017-12-10,2017-12-10,,Bharat Bhushan,Gateway of India,1920-06-14
26,nm0158112,2017-12-10,2017-12-10,,Chiranjeevi,Shankar Dada MBBS,1955-08-22
27,nm0659233,2017-12-10,2017-12-10,,Chunky Panday,Don,1962-09-26
28,nm0219939,2017-12-10,2017-12-10,,Danny Denzongpa,Baby,1948-02-25
29,nm2594301,2017-12-10,2017-12-10,,Darsheel Safary,Taare Zameen Par,1996-03-09
30,nm0863120,2017-12-10,2017-12-10,,Deepak Tijori,"Tom, Dick, and Harry",1961-08-28
31,nm0004429,2017-12-10,2017-12-10,,Dharmendra,Sholay,1935-12-08
32,nm2138653,2017-12-10,2017-12-10,,Deepika Padukone,Chennai Express,1986-01-05
33,nm0438092,2017-12-10,2017-12-10,,Dimple Kapadia,Tenet,1957-06-08
34,nm0007147,2017-12-10,2017-12-10,,Dev Anand,Kala Bazar,1923-09-26
35,nm0622732,2017-12-10,2017-12-10,,Deepti Naval,Lion,1952-02-03
36,nm0474801,2017-12-10,2017-12-10,,Dilip Kumar,Gunga Jumna,1922-12-11
37,nm0787582,2017-12-10,2017-12-10,,Farooq Shaikh,Yeh Jawaani Hai Deewani,1948-03-25
38,nm1027719,2017-12-10,2017-12-10,,Farhan Akhtar,Zindagi Na Milegi Dobara,1974-01-09
39,nm0451211,2017-12-10,2017-12-10,,Feroz Khan,Janasheen,1939-09-25
40,nm0416077,2017-12-10,2017-12-10,,Farida Jalal,Dilwale Dulhania Le Jayenge,1949-03-14
41,nm0244870,2017-12-10,2017-12-10,,Guru Dutt,Pyaasa,1925-07-09
42,nm0332871,2017-12-10,2017-12-10,,Govinda,Holiday,1963-12-21
43,nm0004109,2017-12-10,2017-12-10,,Gulshan Grover,Badman,1955-09-21
44,nm1836657,2017-12-10,2017-12-10,,Gurpreet Ghuggi,Ardaas Karaan,
45,nm0439784,2017-12-10,2017-12-10,,Girish Karnad,Ondanondu Kaladalli,1938-05-19
